Algorytm,ARPD [%],Mediana RPD [%],Q1 RPD [%],Q3 RPD [%],IQR RPD [p.p.],Odch. std. RPD,BKS [liczba],BKS [%],"Próg 0,1% [liczba]","Próg 0,1% [%]",Próg 1% [liczba],Próg 1% [%]
ACO,0.8613777277885386,0.8118539962550382,0.6742225587424391,1.0516483340791676,0.3774257753367285,0.3420433274882515,5,3.333333333333333,5,3.333333333333333,110,73.33333333333333
HPSO,0.2027590963987425,0.1423754122211809,0.057177942218553,0.26432631591413,0.2071483736955769,0.2338688504245392,18,12.0,57,38.0,149,99.33333333333331
TS,0.0631231571223342,0.0458615048268943,0.0,0.0938214407769982,0.0938214407769982,0.0702319520050148,40,26.666666666666668,116,77.33333333333333,150,100.0
GA,0.2714445039568804,0.2023562605555194,0.1376250689987804,0.3222965281063172,0.1846714591075368,0.2737752207209214,6,4.0,20,13.333333333333334,146,97.33333333333334
2PGA,0.2974964572122624,0.2576800793441447,0.171825524038767,0.3680758732620225,0.1962503492232554,0.1961403719339234,6,4.0,10,6.666666666666667,150,100.0
BRKGA-R-LS,0.3922118098788643,0.3610723750699702,0.2140625673016185,0.4957899271091631,0.2817273598075446,0.2975496851806185,7,4.666666666666667,17,11.333333333333332,145,96.66666666666669
