Wariant,Pary,Mediana poprawy RPD [p.p.],Średnia poprawa RPD [p.p.],Wygrywa wariant [%],Remis [%],Wygrywa GA [%],"Zmiana progu 0,1% [p.p.]","Oba osiągnęły 0,1% [pary]","Mediana oszczędności czasu do 0,1% [s]","Mediana oszczędności ocen do 0,1%",Zmiana progu 1% [p.p.],Oba osiągnęły 1% [pary],Mediana oszczędności czasu do 1% [s],Mediana oszczędności ocen do 1%
2PGA,150,-0.0576411759092015,-0.026051953255382,35.333333333333336,3.333333333333333,61.33333333333333,-6.666666666666667,5,0.0001502999220974,0.0,2.6666666666666616,146,-0.2905188000004273,-4879.0
BRKGA-R-LS,150,-0.1816047450339485,-0.1207673059219837,25.333333333333336,3.333333333333333,71.33333333333334,-2.0000000000000004,6,0.000208699988434,0.0,-0.666666666666671,141,-0.3746776999905705,-5572.0
