Algorytm,"Próg 0,1% [%]","Mediana czasu do 0,1% [s]","Nie osiągnięto 0,1% [liczba]","Mediana ocen do 0,1%",Próg 1% [%],Mediana czasu do 1% [s],Nie osiągnięto 1% [liczba],Mediana ocen do 1%,Mediana liczby ocen,Mediana ocen/s
ACO,3.333333333333333,0.0002036999994743,145,1.0,73.33333333333333,2.181927650000034,40,1978.0,87113.0,580.7497687400146
HPSO,38.0,51.475429599988274,93,75974.0,99.33333333333331,0.1236161999986507,1,461.0,450604.0,3004.0132195391616
TS,77.33333333333333,32.23663855000632,34,104648.5,100.0,0.084565350000048,0,798.5,603521.0,4023.46206137836
GA,13.333333333333334,37.63608575001126,130,134708.0,97.33333333333334,0.1529302499839104,4,1411.0,584005.0,3893.348318600115
2PGA,6.666666666666667,3.721541450002405,140,116088.5,100.0,0.6013209500015364,0,6879.5,976265.0,6508.41460941293
BRKGA-R-LS,11.333333333333332,23.471713999984782,133,389286.0,96.66666666666669,0.6852331000845879,5,6801.0,569325.0,3795.4821444348127
