algorithm,is_baseline,instance_id,size,power_pressure_class,repetition,makespan,best_known_makespan,best_naive_makespan,rpd,hit_bks,within_0_1pct,reached_0_1pct,time_to_0_1pct_s,evaluations_to_0_1pct,within_1pct,reached_1pct,time_to_1pct_s,evaluations_to_1pct,execution_time_s,time_overrun_s,solution_count,solutions_per_second,auc_rpd_time,termination_reason,hit_time_limit,profile_id,status
2PGA,False,n0020_i01,20,medium,1,75.37144783698194,74.94165988143776,77.49712421315317,0.5734967122747692,False,False,False,,,True,True,0.954891499990481,30632.0,150.00564429999213,0.005644299992127344,4390594,29269.525293457446,0.5807782971980443,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0020_i01,20,medium,2,75.57810343339267,74.94165988143776,77.49712421315317,0.8492520087783004,False,False,False,,,True,True,0.536018899991177,9376.0,150.0032893000025,0.003289300002506934,2910430,19402.441197000815,0.8577149488677793,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0020_i01,20,medium,3,75.58451251517853,74.94165988143776,77.49712421315317,0.857804103562431,False,False,False,,,True,True,0.37460290000308305,7086.0,150.0026213000092,0.002621300009195693,2647096,17646.998279488318,0.8599069201593267,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0020_i01,20,medium,4,75.45419964267383,74.94165988143776,77.49712421315317,0.6839183466805232,False,False,False,,,True,True,0.39360880000458565,7508.0,150.00176870000723,0.0017687000072328374,4094258,27294.73149205475,0.702629494933791,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0020_i01,20,medium,5,75.51718448628733,74.94165988143776,77.49712421315317,0.7679635142323924,False,False,False,,,True,True,6.572330700000748,205568.0,150.00179380000918,0.001793800009181723,4693855,31291.992456157634,0.7982148090030329,time_limit,True,run_b9ece1fb,ok
ACO,False,n0020_i01,20,medium,1,75.41380973042703,74.94165988143776,77.49712421315317,0.6300232070336378,False,False,False,,,True,True,30.725588100000095,352178.0,150.00085119999858,0.0008511999985785224,1126579,7510.484047173265,0.7357999899937945,time_limit,True,run_b9ece1fb,ok
ACO,False,n0020_i01,20,medium,2,75.31553607855628,74.94165988143776,77.49712421315317,0.4988896665886699,False,False,False,,,True,True,0.4690152000002854,3058.0,150.00078349999967,0.0007834999996703118,967728,6451.486301736565,0.77957198220507,time_limit,True,run_b9ece1fb,ok
ACO,False,n0020_i01,20,medium,3,75.53483071590227,74.94165988143776,77.49712421315317,0.7915101365554861,False,False,False,,,True,True,89.63971610000044,570260.0,150.0010493000009,0.0010493000008864328,950043,6333.575694526788,1.0230896163618048,time_limit,True,run_b9ece1fb,ok
ACO,False,n0020_i01,20,medium,4,75.19845759857121,74.94165988143776,77.49712421315317,0.3426635032366796,False,False,False,,,True,True,2.7359776999983296,17357.0,150.00076779999836,0.0007677999983570771,957341,6382.240664770854,0.5200576749994716,time_limit,True,run_b9ece1fb,ok
ACO,False,n0020_i01,20,medium,5,75.59337923678467,74.94165988143776,77.49712421315317,0.8696356023845377,False,False,False,,,True,True,118.12481590000061,755495.0,150.00074190000123,0.0007419000012305332,959753,6398.3216872342155,1.003939815280364,time_limit,True,run_b9ece1fb,ok
