algorithm,size,runs,instances,arpd,median_rpd,q1_rpd,q3_rpd,iqr_rpd,std_rpd,bks_hits,bks_hit_rate_pct,within_0_1pct_runs,within_0_1pct_rate_pct,median_time_to_0_1pct_s_among_successes,not_reached_0_1pct_runs,median_evaluations_to_0_1pct_among_successes,within_1pct_runs,within_1pct_rate_pct,median_time_to_1pct_s_among_successes,not_reached_1pct_runs,median_evaluations_to_1pct_among_successes,median_solution_count,median_solutions_per_second,median_auc_rpd_time
2PGA,20,30,6,0.32901822155254135,0.1609023762186747,0.0934073938185015,0.5301959971540572,0.4367886033355557,0.31192996597181705,6,20.0,8,26.666666666666668,0.00028900000324938446,22,1.0,30,100.0,0.5684272499929648,0,17307.0,4659799.5,31065.019304364898,0.31097822629475935
2PGA,50,30,6,0.2808699337983358,0.2626262436709472,0.18657398386715202,0.37065223019933313,0.18407824633218112,0.11398192093750552,0,0.0,1,3.3333333333333335,136.71921640000073,29,1140774.0,30,100.0,0.773078300000634,0,8643.5,1679757.5,11198.328341045859,0.3085766700650986
2PGA,100,30,6,0.22696209687212054,0.19565904867604578,0.1571763701296235,0.2946841846342846,0.1375078145046611,0.09880505700580731,0,0.0,1,3.3333333333333335,132.38522670000384,29,858675.0,30,100.0,0.7072165499921539,0,4534.0,978999.5,6526.647252391291,0.26507531608943946
2PGA,200,30,6,0.24085611604884918,0.243359281258825,0.19448385856554545,0.28861926685990946,0.09413540829436401,0.07885309315358302,0,0.0,0,0.0,,30,,30,100.0,1.3080100000006496,0,4919.0,516989.0,3446.5827358035326,0.3562363672291438
2PGA,500,30,6,0.40977591778946515,0.3255383924794615,0.2605113620076509,0.4360358050479455,0.17552444304029458,0.22038260869437146,0,0.0,0,0.0,,30,,30,100.0,0.009895549999782816,0,1.0,122316.0,815.4347923613511,0.4326381270093883
ACO,20,30,6,0.692768372334285,0.6625277997383652,0.40155943121168114,0.9367270176131578,0.5351675864014767,0.506977567730022,5,16.666666666666664,5,16.666666666666664,0.00020369999947433826,25,1.0,24,80.0,10.209772399999565,6,99466.5,1062074.5,7080.4801370548175,0.77301055271244
ACO,50,30,6,0.8364450738718918,0.8316865707968697,0.7510740893822293,0.9011608362250179,0.15008674684278855,0.12957844904621435,0,0.0,0,0.0,,30,,26,86.66666666666667,4.125931149999815,4,7964.5,279743.5,1864.950008596673,0.8706635548332069
ACO,100,30,6,0.9041189437600411,0.8304200255636147,0.7322613999783478,1.123819484696082,0.39155808471773423,0.2516701602873908,0,0.0,0,0.0,,30,,19,63.33333333333333,1.4954314999995404,11,1419.0,87113.0,580.7497687400146,0.9030546511517543
ACO,200,30,6,0.9334062708123998,0.8708389112670829,0.7545440691562172,1.1335010170030693,0.3789569478468521,0.1912999195213101,0,0.0,0,0.0,,30,,16,53.333333333333336,0.014516599998387392,14,5.0,47261.0,315.07028454181784,0.9770382281482597
ACO,500,30,6,0.9401499781640748,0.7984487506270572,0.6366954792434888,0.9614168238973573,0.3247213446538685,0.4285166644581109,0,0.0,0,0.0,,30,,25,83.33333333333334,0.018974599999637576,5,1.0,8327.0,55.50989628545017,0.8065657327924716
BRKGA-R-LS,20,30,6,0.10499696778725685,0.09882437468496275,0.029665852428296172,0.16221177373507403,0.13254592130677786,0.08981962472049372,7,23.333333333333332,15,50.0,23.471713999984786,15,402297.0,30,100.0,0.15155219996813685,0,3321.0,2818549.5,18790.04815475987,0.17091099142182473
BRKGA-R-LS,50,30,6,0.29527428378417386,0.2865913802641672,0.20655328903278466,0.402113196842803,0.19555990781001834,0.1256192097241264,0,0.0,2,6.666666666666667,42.50872234994313,28,247229.5,30,100.0,1.5994260000879876,0,10465.0,1123898.5,7492.605217169918,0.370009291407069
BRKGA-R-LS,100,30,6,0.34798584774975155,0.3408587960726021,0.2760028340102358,0.4179327373459606,0.1419299033357248,0.11076692599310856,0,0.0,0,0.0,,30,,30,100.0,5.2471802000072785,0,24158.0,569325.0,3795.4821444348127,0.4446978645152948
BRKGA-R-LS,200,30,6,0.43286150554062147,0.4088423827618223,0.3643710271959214,0.5032998249120635,0.13892879771614208,0.0810231624437348,0,0.0,0,0.0,,30,,30,100.0,10.515276000020094,0,32794.0,327792.0,2185.2740302939055,0.7227168230953347
BRKGA-R-LS,500,30,6,0.7799404445325172,0.6486555766944018,0.5029213648113363,0.782361867054014,0.2794405022426777,0.3973676961642759,0,0.0,0,0.0,,30,,25,83.33333333333334,0.002051300019957125,5,1.0,208078.0,1387.1801781003014,0.695763833182107
GA,20,30,6,0.4790821286053571,0.3451681695601708,0.23360983242658825,0.549196803910885,0.3155869714842967,0.5123700144971096,5,16.666666666666664,5,16.666666666666664,0.00040259998058900237,25,1.0,26,86.66666666666667,0.0872339999768883,4,1655.0,2693024.0,17953.15618328054,0.3464747457828511
GA,50,30,6,0.29991034175031367,0.28457909266373593,0.200644955624046,0.34298700792953407,0.14234205230548808,0.15615855541407397,0,0.0,2,6.666666666666667,2.8481411000248045,28,18126.0,30,100.0,0.3148394500021823,0,2144.5,1135624.5,7570.769681070384,0.30067354681748437
GA,100,30,6,0.17143628466932803,0.15829938220612833,0.10317460225554745,0.20160687090896834,0.09843226865342089,0.12179665226471899,1,3.3333333333333335,7,23.333333333333332,38.51554259995464,23,137626.0,30,100.0,0.40355584997450933,0,1618.5,584005.0,3893.348318600115,0.20892350480402916
GA,200,30,6,0.19506257020403658,0.18142192308304328,0.1121460901713937,0.28187168060222545,0.16972559043083174,0.09584725011390853,0,0.0,5,16.666666666666664,119.98311210004613,25,212138.0,30,100.0,0.5307001000037417,0,1332.0,304101.0,2027.3226135636846,0.29105740013027176
