variant,pairs,median_rpd_improvement_over_ga,mean_rpd_improvement_over_ga,variant_win_rate_pct,tie_rate_pct,ga_win_rate_pct,within_0_1pct_rate_change_pp,pairs_where_both_reached_0_1pct,median_time_saved_to_0_1pct_s_when_both_reached,median_evaluations_saved_to_0_1pct_when_both_reached,within_1pct_rate_change_pp,pairs_where_both_reached_1pct,median_time_saved_to_1pct_s_when_both_reached,median_evaluations_saved_to_1pct_when_both_reached
2PGA,150,-0.05764117590920158,-0.02605195325538201,35.333333333333336,3.3333333333333335,61.33333333333333,-6.666666666666667,5,0.00015029992209747434,0.0,2.6666666666666616,146,-0.2905188000004273,-4879.0
BRKGA-R-LS,150,-0.18160474503394852,-0.12076730592198376,25.333333333333336,3.3333333333333335,71.33333333333334,-2.0000000000000004,6,0.0002086999884340912,0.0,-0.666666666666671,141,-0.37467769999057055,-5572.0
