algorithm,instance_id,size,power_pressure_class,repetition,checkpoint_s,best_result_time_s,solution_count,makespan,rpd,has_solution,hit_bks,within_0_1pct,within_1pct,beats_or_ties_naive,strictly_beats_naive
ACO,n0020_i01,20,medium,2,5.0,0.4690152000002854,3058,75.6818668003258,0.9877108674388866,True,False,False,True,True,True
ACO,n0020_i01,20,medium,2,15.0,9.509064699999726,60763,75.62229771871067,0.9082235946597949,True,False,False,True,True,True
ACO,n0020_i01,20,medium,2,30.0,9.509064699999726,60763,75.62229771871067,0.9082235946597949,True,False,False,True,True,True
ACO,n0020_i01,20,medium,2,60.0,9.509064699999726,60763,75.62229771871067,0.9082235946597949,True,False,False,True,True,True
ACO,n0020_i01,20,medium,2,120.0,105.89765400000033,682308,75.31553607855628,0.4988896665886699,True,False,False,True,True,True
ACO,n0020_i01,20,medium,2,150.0,105.89765400000033,682308,75.31553607855628,0.4988896665886699,True,False,False,True,True,True
ACO,n0020_i01,20,medium,3,1.0,0.036230400000931695,240,76.15587394303192,1.6202123939009663,True,False,False,False,True,True
ACO,n0020_i01,20,medium,3,5.0,4.782834800000273,30652,75.90806335777582,1.2895410614963256,True,False,False,False,True,True
ACO,n0020_i01,20,medium,3,15.0,4.782834800000273,30652,75.90806335777582,1.2895410614963256,True,False,False,False,True,True
ACO,n0020_i01,20,medium,3,30.0,15.436351899999863,97357,75.76113468155094,1.093483653030428,True,False,False,False,True,True
ACO,n0020_i01,20,medium,3,60.0,53.5572714000009,341617,75.69692601130151,1.007805446341371,True,False,False,False,True,True
ACO,n0020_i01,20,medium,3,120.0,89.63971610000044,570260,75.63691566530521,0.9277293630370463,True,False,False,True,True,True
ACO,n0020_i01,20,medium,3,150.0,139.40432599999986,883166,75.53483071590227,0.7915101365554861,True,False,False,True,True,True
ACO,n0020_i01,20,medium,4,1.0,0.6234964999985095,3800,75.74780859897882,1.0757017109261249,True,False,False,False,True,True
ACO,n0020_i01,20,medium,4,5.0,2.9811935999987327,18934,75.5302808611959,0.7854389410234324,True,False,False,True,True,True
ACO,n0020_i01,20,medium,4,15.0,2.9811935999987327,18934,75.5302808611959,0.7854389410234324,True,False,False,True,True,True
ACO,n0020_i01,20,medium,4,30.0,2.9811935999987327,18934,75.5302808611959,0.7854389410234324,True,False,False,True,True,True
ACO,n0020_i01,20,medium,4,60.0,36.729229999999006,233407,75.41906399151948,0.6370343422296806,True,False,False,True,True,True
ACO,n0020_i01,20,medium,4,120.0,68.09380359999886,433652,75.19845759857121,0.3426635032366796,True,False,False,True,True,True
ACO,n0020_i01,20,medium,4,150.0,68.09380359999886,433652,75.19845759857121,0.3426635032366796,True,False,False,True,True,True
ACO,n0020_i01,20,medium,5,1.0,0.32540030000018305,2101,76.16250523877736,1.6290610046148561,True,False,False,False,True,True
ACO,n0020_i01,20,medium,5,5.0,1.2501799000001483,8067,76.01511330409433,1.4323854373586578,True,False,False,False,True,True
ACO,n0020_i01,20,medium,5,15.0,9.174304199999824,59048,75.69695246211643,1.007840741549612,True,False,False,False,True,True
ACO,n0020_i01,20,medium,5,30.0,9.174304199999824,59048,75.69695246211643,1.007840741549612,True,False,False,False,True,True
ACO,n0020_i01,20,medium,5,60.0,9.174304199999824,59048,75.69695246211643,1.007840741549612,True,False,False,False,True,True
ACO,n0020_i01,20,medium,5,120.0,118.12481590000061,755495,75.59337923678467,0.8696356023845377,True,False,False,True,True,True
