algorithm,size,evaluation_budget,observations,solution_available_rate_pct,arpd,median_rpd,q1_rpd,q3_rpd,iqr_rpd,std_rpd,bks_hits,bks_hit_rate_pct,within_0_1pct_observations,within_0_1pct_rate_pct,within_1pct_observations,within_1pct_rate_pct,beats_or_ties_naive_rate_pct,strictly_beats_naive_rate_pct,eligible_runs_total,coverage_rate_pct
2PGA,20,1,30,100.0,3.5325778591817554,4.030056800739354,3.691977131440903,4.245672104505213,0.5536949730643101,1.675426610173976,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,66.66666666666666,50.0,30,100.0
2PGA,20,2,30,100.0,3.5325778591817554,4.030056800739354,3.691977131440903,4.245672104505213,0.5536949730643101,1.675426610173976,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,66.66666666666666,50.0,30,100.0
2PGA,20,3,30,100.0,3.5325778591817554,4.030056800739354,3.691977131440903,4.245672104505213,0.5536949730643101,1.675426610173976,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,66.66666666666666,50.0,30,100.0
2PGA,20,6,30,100.0,3.5325778591817554,4.030056800739354,3.691977131440903,4.245672104505213,0.5536949730643101,1.675426610173976,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,66.66666666666666,50.0,30,100.0
2PGA,20,11,30,100.0,3.5325778591817554,4.030056800739354,3.691977131440903,4.245672104505213,0.5536949730643101,1.675426610173976,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,66.66666666666666,50.0,30,100.0
2PGA,20,20,30,100.0,3.5325778591817554,4.030056800739354,3.691977131440903,4.245672104505213,0.5536949730643101,1.675426610173976,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,66.66666666666666,50.0,30,100.0
2PGA,20,36,30,100.0,3.5325778591817554,4.030056800739354,3.691977131440903,4.245672104505213,0.5536949730643101,1.675426610173976,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,66.66666666666666,50.0,30,100.0
2PGA,20,66,30,100.0,3.5325778591817554,4.030056800739354,3.691977131440903,4.245672104505213,0.5536949730643101,1.675426610173976,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,66.66666666666666,50.0,30,100.0
2PGA,20,120,30,100.0,3.5325778591817554,4.030056800739354,3.691977131440903,4.245672104505213,0.5536949730643101,1.675426610173976,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,66.66666666666666,50.0,30,100.0
2PGA,20,218,30,100.0,3.5029423662004016,4.018213827349892,3.691977131440903,4.245672104505213,0.5536949730643101,1.6670253737293188,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,66.66666666666666,50.0,30,100.0
2PGA,20,397,30,100.0,3.2788628065687826,3.779450639906298,3.0155145207017835,4.099703587763785,1.0841890670620016,1.6192581300646591,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,76.66666666666667,60.0,30,100.0
2PGA,20,723,30,100.0,2.870731389313598,3.134940934523507,2.5244469321296874,3.964219097078196,1.4397721649485087,1.4967177202192319,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,90.0,73.33333333333333,30,100.0
2PGA,20,1315,30,100.0,2.267185278543697,2.507936129134797,2.0049107850662415,3.0247805575229747,1.0198697724567332,1.2085005457174107,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,100.0,83.33333333333334,30,100.0
2PGA,20,2392,30,100.0,2.084619594877929,2.4056283046467133,1.5197093318772104,2.7770872522859116,1.2573779204087012,1.106767599645583,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,100.0,83.33333333333334,30,100.0
2PGA,20,4351,30,100.0,1.6521877288012718,1.689318268114882,1.166975875023884,2.446265890715523,1.2792900156916391,0.9667588063319016,5,16.666666666666664,5,16.666666666666664,5,16.666666666666664,100.0,83.33333333333334,30,100.0
2PGA,20,7916,30,100.0,1.3830223229583296,1.3410605953415766,0.8656981670341324,2.1454512873478313,1.279753120313699,0.8898734054209372,5,16.666666666666664,5,16.666666666666664,12,40.0,100.0,83.33333333333334,30,100.0
2PGA,20,14402,30,100.0,1.1674407478016093,1.1716512483079669,0.66436756225082,1.7639526292443652,1.0995850669935452,0.7904429831538659,5,16.666666666666664,5,16.666666666666664,13,43.333333333333336,100.0,83.33333333333334,30,100.0
2PGA,20,26202,30,100.0,0.9659333760043467,0.8796081747387474,0.45428268021107326,1.4524932435005316,0.9982105632894582,0.6788576442038148,5,16.666666666666664,5,16.666666666666664,17,56.666666666666664,100.0,83.33333333333334,30,100.0
2PGA,20,47669,30,100.0,0.7875749713092729,0.7521950873044985,0.35377936714336056,1.2416838784423663,0.8879045112990057,0.575245121570105,5,16.666666666666664,5,16.666666666666664,20,66.66666666666666,100.0,83.33333333333334,30,100.0
2PGA,20,86723,30,100.0,0.6576001591067564,0.664840956429954,0.2629674823775622,0.9931457541762179,0.7301782717986557,0.46297817685827547,5,16.666666666666664,5,16.666666666666664,23,76.66666666666667,100.0,83.33333333333334,30,100.0
2PGA,20,157775,30,100.0,0.5872842056507509,0.5784040516956368,0.24777547427557492,0.8758245686939623,0.6280490944183874,0.43356788434579735,5,16.666666666666664,5,16.666666666666664,26,86.66666666666667,100.0,83.33333333333334,30,100.0
2PGA,20,287038,30,100.0,0.4657162090386392,0.35775181709522963,0.17678080865947335,0.8056351790036653,0.628854370344192,0.3849439548095233,5,16.666666666666664,6,20.0,28,93.33333333333333,100.0,83.33333333333334,30,100.0
2PGA,20,522205,30,100.0,0.4199393019950662,0.31064202952609193,0.14618830222539092,0.7555758980995572,0.6093875958741662,0.33694069488171036,5,16.666666666666664,6,20.0,30,100.0,100.0,83.33333333333334,30,100.0
2PGA,20,950043,30,100.0,0.36332827565981723,0.26850483042849155,0.13085621699297845,0.5636166326971364,0.4327604157041579,0.31410438671693,5,16.666666666666664,7,23.333333333333332,30,100.0,100.0,83.33333333333334,30,100.0
2PGA,50,1,30,100.0,2.158916792793925,2.3539576813970866,1.8068308460558251,2.494368697317902,0.6875378512620767,0.43877005353496984,0,0.0,0,0.0,0,0.0,66.66666666666666,66.66666666666666,30,100.0
2PGA,50,2,30,100.0,2.158916792793925,2.3539576813970866,1.8068308460558251,2.494368697317902,0.6875378512620767,0.43877005353496984,0,0.0,0,0.0,0,0.0,66.66666666666666,66.66666666666666,30,100.0
2PGA,50,3,30,100.0,2.158916792793925,2.3539576813970866,1.8068308460558251,2.494368697317902,0.6875378512620767,0.43877005353496984,0,0.0,0,0.0,0,0.0,66.66666666666666,66.66666666666666,30,100.0
2PGA,50,5,30,100.0,2.158916792793925,2.3539576813970866,1.8068308460558251,2.494368697317902,0.6875378512620767,0.43877005353496984,0,0.0,0,0.0,0,0.0,66.66666666666666,66.66666666666666,30,100.0
2PGA,50,9,30,100.0,2.158916792793925,2.3539576813970866,1.8068308460558251,2.494368697317902,0.6875378512620767,0.43877005353496984,0,0.0,0,0.0,0,0.0,66.66666666666666,66.66666666666666,30,100.0
2PGA,50,15,30,100.0,2.158916792793925,2.3539576813970866,1.8068308460558251,2.494368697317902,0.6875378512620767,0.43877005353496984,0,0.0,0,0.0,0,0.0,66.66666666666666,66.66666666666666,30,100.0
2PGA,50,26,30,100.0,2.158916792793925,2.3539576813970866,1.8068308460558251,2.494368697317902,0.6875378512620767,0.43877005353496984,0,0.0,0,0.0,0,0.0,66.66666666666666,66.66666666666666,30,100.0
2PGA,50,45,30,100.0,2.158916792793925,2.3539576813970866,1.8068308460558251,2.494368697317902,0.6875378512620767,0.43877005353496984,0,0.0,0,0.0,0,0.0,66.66666666666666,66.66666666666666,30,100.0
2PGA,50,77,30,100.0,2.158916792793925,2.3539576813970866,1.8068308460558251,2.494368697317902,0.6875378512620767,0.43877005353496984,0,0.0,0,0.0,0,0.0,66.66666666666666,66.66666666666666,30,100.0
2PGA,50,133,30,100.0,2.152498714413433,2.3140415515101793,1.8068308460558251,2.494368697317902,0.6875378512620767,0.4339409420010999,0,0.0,0,0.0,0,0.0,66.66666666666666,66.66666666666666,30,100.0
2PGA,50,229,30,100.0,2.149647909860572,2.3140415515101793,1.8068308460558251,2.494368697317902,0.6875378512620767,0.4320560085274238,0,0.0,0,0.0,0,0.0,66.66666666666666,66.66666666666666,30,100.0
2PGA,50,395,30,100.0,2.1072531034527064,2.2512666281921887,1.8068308460558251,2.456648734601985,0.6498178885461598,0.4213939187279273,0,0.0,0,0.0,0,0.0,73.33333333333333,73.33333333333333,30,100.0
2PGA,50,679,30,100.0,2.036381307837307,2.1878252300001915,1.8068308460558251,2.362133795308725,0.5553029492529,0.39135469620080626,0,0.0,0,0.0,0,0.0,83.33333333333334,83.33333333333334,30,100.0
2PGA,50,1170,30,100.0,1.8881818846755243,1.9760729757592634,1.5750038842094596,2.231769108820795,0.6567652246113354,0.40497266363522605,0,0.0,0,0.0,0,0.0,93.33333333333333,93.33333333333333,30,100.0
2PGA,50,2014,30,100.0,1.7152067032376344,1.789649872805899,1.3074445124262142,2.015361147738854,0.7079166353126398,0.42784588522339173,0,0.0,0,0.0,2,6.666666666666667,93.33333333333333,93.33333333333333,30,100.0
2PGA,50,3469,30,100.0,1.6039837346838253,1.563054884642277,1.241240655755965,1.929998391155454,0.6887577353994889,0.4214322372781198,0,0.0,0,0.0,2,6.666666666666667,96.66666666666667,96.66666666666667,30,100.0
2PGA,50,5973,30,100.0,1.2914380124028262,1.2434153803956889,1.0799056843256347,1.4756351674073842,0.3957294830817495,0.2665241410094881,0,0.0,0,0.0,3,10.0,100.0,100.0,30,100.0
2PGA,50,10284,30,100.0,0.9955588037993096,0.9267208331201957,0.8500351842658562,1.1514791238548288,0.30144393958897253,0.25458700694367914,0,0.0,0,0.0,19,63.33333333333333,100.0,100.0,30,100.0
2PGA,50,17708,30,100.0,0.8114921755698605,0.7732856734926266,0.6241027710075264,0.9416256399305818,0.31752286892305537,0.23983373044565395,0,0.0,0,0.0,23,76.66666666666667,100.0,100.0,30,100.0
2PGA,50,30492,30,100.0,0.6711504862280451,0.6234817393455844,0.5422135139027404,0.7609504597669042,0.2187369458641638,0.1882621727044319,0,0.0,0,0.0,28,93.33333333333333,100.0,100.0,30,100.0
2PGA,50,52505,30,100.0,0.5438301791690393,0.49578567678682417,0.4008562511481356,0.5986880354775199,0.1978317843293843,0.17536887238368593,0,0.0,0,0.0,29,96.66666666666667,100.0,100.0,30,100.0
2PGA,50,90408,30,100.0,0.46565604354728385,0.42865765481039203,0.3277491357066903,0.5338738726111418,0.20612473690445154,0.17116391935096947,0,0.0,0,0.0,30,100.0,100.0,100.0,30,100.0
2PGA,50,155675,30,100.0,0.39749784909580466,0.38642441795443117,0.2840801013606591,0.4543292376126394,0.1702491362519803,0.13847869523716821,0,0.0,0,0.0,30,100.0,100.0,100.0,30,100.0
2PGA,50,268058,30,100.0,0.3497520222719006,0.34636586890068977,0.24469383760007213,0.4147644156080443,0.17007057800797215,0.13529266431239315,0,0.0,0,0.0,30,100.0,100.0,100.0,30,100.0
2PGA,100,1,30,100.0,1.4990503762604594,1.3328901807290436,1.2845285066839662,1.950208839021799,0.6656803323378329,0.41110737870503467,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
2PGA,100,2,30,100.0,1.4990503762604594,1.3328901807290436,1.2845285066839662,1.950208839021799,0.6656803323378329,0.41110737870503467,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
2PGA,100,3,30,100.0,1.4990503762604594,1.3328901807290436,1.2845285066839662,1.950208839021799,0.6656803323378329,0.41110737870503467,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
2PGA,100,4,30,100.0,1.4990503762604594,1.3328901807290436,1.2845285066839662,1.950208839021799,0.6656803323378329,0.41110737870503467,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
2PGA,100,7,30,100.0,1.4990503762604594,1.3328901807290436,1.2845285066839662,1.950208839021799,0.6656803323378329,0.41110737870503467,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
2PGA,100,12,30,100.0,1.4990503762604594,1.3328901807290436,1.2845285066839662,1.950208839021799,0.6656803323378329,0.41110737870503467,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
2PGA,100,19,30,100.0,1.4990503762604594,1.3328901807290436,1.2845285066839662,1.950208839021799,0.6656803323378329,0.41110737870503467,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
2PGA,100,32,30,100.0,1.4990503762604594,1.3328901807290436,1.2845285066839662,1.950208839021799,0.6656803323378329,0.41110737870503467,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
2PGA,100,52,30,100.0,1.4990503762604594,1.3328901807290436,1.2845285066839662,1.950208839021799,0.6656803323378329,0.41110737870503467,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
2PGA,100,85,30,100.0,1.4990503762604594,1.3328901807290436,1.2845285066839662,1.950208839021799,0.6656803323378329,0.41110737870503467,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
2PGA,100,139,30,100.0,1.4990503762604594,1.3328901807290436,1.2845285066839662,1.950208839021799,0.6656803323378329,0.41110737870503467,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
2PGA,100,227,30,100.0,1.4963465262781641,1.3328901807290436,1.2845285066839662,1.950208839021799,0.6656803323378329,0.4082949212976142,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
2PGA,100,372,30,100.0,1.4782236675048845,1.3328901807290436,1.2845285066839662,1.8917849418997394,0.6072564352157732,0.40306169534088104,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
2PGA,100,609,30,100.0,1.4609308846690958,1.3328901807290436,1.2750935855354575,1.869417930468089,0.5943243449326314,0.4023887961122767,0,0.0,0,0.0,5,16.666666666666664,100.0,100.0,30,100.0
