algorithm,size,power_pressure_class,runs,instances,arpd,median_rpd,q1_rpd,q3_rpd,iqr_rpd,std_rpd,bks_hits,bks_hit_rate_pct,within_0_1pct_runs,within_0_1pct_rate_pct,median_time_to_0_1pct_s_among_successes,not_reached_0_1pct_runs,median_evaluations_to_0_1pct_among_successes,within_1pct_runs,within_1pct_rate_pct,median_time_to_1pct_s_among_successes,not_reached_1pct_runs,median_evaluations_to_1pct_among_successes,median_solution_count,median_solutions_per_second,median_auc_rpd_time
2PGA,20,high,10,2,0.27219260218385116,0.11940138056551333,0.1051526361988628,0.42732333376439613,0.32217069756553335,0.2788566317672469,0,0.0,2,20.0,28.73617619999277,8,987974.0,10,100.0,1.0914889499981655,0,37046.0,5095959.5,33972.64778924235,0.24868927609269526
2PGA,20,low,10,2,0.20981129335361653,0.08376337348923803,0.0,0.3205724873363505,0.3205724873363505,0.29191746030458954,5,50.0,5,50.0,0.0002523000002838671,5,1.0,10,100.0,0.2541607000021031,0,7893.5,4538508.5,30256.374751637424,0.10791742886256415
2PGA,20,medium,10,2,0.5050507691201565,0.5537365531195035,0.23279038611603936,0.7469522223444252,0.5141618362283857,0.3110284693219602,1,10.0,1,10.0,7.442760799996904,9,232176.0,10,100.0,0.5684272499929648,0,17009.5,4528691.0,30190.943556522463,0.5627423328298056
2PGA,50,high,10,2,0.27211324035426854,0.2505565916091479,0.1743736038524636,0.385096177622531,0.21072257377006742,0.14180237350915045,0,0.0,1,10.0,136.71921640000073,9,1140774.0,10,100.0,0.8400664000000688,0,10179.5,1295318.5,8635.400651588017,0.3042950010719103
2PGA,50,low,10,2,0.2777448152999388,0.2342578870241941,0.20216404148869688,0.3736393484305391,0.1714753069418422,0.11050921234244702,0,0.0,0,0.0,,10,,10,100.0,1.594235349992232,0,14943.5,1642636.0,10950.860404297302,0.29572591758633493
2PGA,50,medium,10,2,0.29275174574080026,0.3156323829510823,0.23469568747161096,0.3680758732620225,0.13338018579041155,0.09638259605558937,0,0.0,0,0.0,,10,,10,100.0,0.5147267499924055,0,6618.0,1902254.0,12681.64071118802,0.34432010709996763
2PGA,100,high,10,2,0.3144189789976152,0.3065057889486466,0.26737366666564827,0.34606150269545094,0.07868783602980267,0.0923028089781753,0,0.0,0,0.0,,10,,10,100.0,2.0896378500037827,0,15760.5,1117523.5,7450.116663505498,0.40520040516429534
2PGA,100,low,10,2,0.17198243120896106,0.16430000673087664,0.13165616486721893,0.18001424671917274,0.04835808185195381,0.06587144664868404,0,0.0,0,0.0,,10,,10,100.0,0.0745166499982588,0,392.5,793318.0,5288.773074509101,0.22331309213252817
2PGA,100,medium,10,2,0.1944848804097853,0.18693233439667828,0.13827161475723787,0.2429236677676082,0.10465205301037034,0.07462397632364563,0,0.0,1,10.0,132.38522670000384,9,858675.0,10,100.0,0.6726606500014896,0,4446.0,979086.5,6527.2254967562,0.25676990118464055
2PGA,200,high,10,2,0.30898176590827847,0.2929644264708847,0.27412790712825075,0.3311153266083198,0.05698741948006908,0.05907627636207706,0,0.0,0,0.0,,10,,10,100.0,3.4373496000043815,0,13366.5,569613.5,3797.413017179525,0.45545700965467906
