algorithm,runs,instances,arpd,median_rpd,q1_rpd,q3_rpd,iqr_rpd,std_rpd,bks_hits,bks_hit_rate_pct,within_0_1pct_runs,within_0_1pct_rate_pct,median_time_to_0_1pct_s_among_successes,not_reached_0_1pct_runs,median_evaluations_to_0_1pct_among_successes,within_1pct_runs,within_1pct_rate_pct,median_time_to_1pct_s_among_successes,not_reached_1pct_runs,median_evaluations_to_1pct_among_successes,median_solution_count,median_solutions_per_second,median_auc_rpd_time
2PGA,150,30,0.2974964572122624,0.2576800793441447,0.17182552403876705,0.3680758732620225,0.19625034922325546,0.1961403719339234,6,4.0,10,6.666666666666667,3.7215414500024053,140,116088.5,150,100.0,0.6013209500015364,0,6879.5,976265.0,6508.41460941293,0.34763159905376395
ACO,150,30,0.8613777277885386,0.8118539962550382,0.6742225587424391,1.0516483340791676,0.3774257753367285,0.3420433274882515,5,3.3333333333333335,5,3.3333333333333335,0.00020369999947433826,145,1.0,110,73.33333333333333,2.181927650000034,40,1978.0,87113.0,580.7497687400146,0.8807175129053197
BRKGA-R-LS,150,30,0.39221180987886434,0.36107237506997025,0.2140625673016185,0.49578992710916314,0.28172735980754465,0.29754968518061853,7,4.666666666666667,17,11.333333333333332,23.471713999984786,133,389286.0,145,96.66666666666667,0.6852331000845879,5,6801.0,569325.0,3795.4821444348127,0.49361820322668215
GA,150,30,0.2714445039568804,0.2023562605555194,0.1376250689987804,0.3222965281063172,0.1846714591075368,0.2737752207209214,6,4.0,20,13.333333333333334,37.63608575001126,130,134708.0,146,97.33333333333334,0.15293024998391047,4,1411.0,584005.0,3893.348318600115,0.2860280429937542
HPSO,150,30,0.2027590963987425,0.14237541222118094,0.05717794221855304,0.26432631591413003,0.20714837369557698,0.23386885042453923,18,12.0,57,38.0,51.475429599988274,93,75974.0,149,99.33333333333333,0.1236161999986507,1,461.0,450604.0,3004.0132195391616,0.19311199213426236
TS,150,30,0.0631231571223342,0.04586150482689434,0.0,0.09382144077699829,0.09382144077699829,0.07023195200501485,40,26.666666666666668,116,77.33333333333333,32.23663855000632,34,104648.5,150,100.0,0.08456535000004806,0,798.5,603521.0,4023.46206137836,0.10667913117850998
