scheduler_name,config,config_id,instance_id,size,makespan,execution_time_s,solution_count,best_known_makespan,rpd
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 50}",3,2,20,119.24878298600822,4.163438320159912,100010,118.19212126813449,0.8940204359955265
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 50}",3,3,20,164.97614663241467,3.9335250854492188,100093,163.8923966100251,0.6612570471882944
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 50}",3,4,50,316.8050012539889,9.96403455734253,100006,315.4125509015329,0.44146954472040845
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 50}",3,5,50,357.58296142923206,11.235069751739502,109457,356.5665364764205,0.2850589858644213
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 50}",3,6,50,382.1534616763482,10.781839370727539,100002,381.53301582072294,0.16261917839287954
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 50}",3,7,100,760.9102848430033,21.07870626449585,108681,757.3148940610056,0.4747550603049516
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 50}",3,8,100,708.0580333668503,28.79672384262085,146152,706.1873763225933,0.26489528232552806
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 50}",3,9,100,730.8880618181765,22.655189514160156,119986,729.5370949892298,0.18518137572794666
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 100}",4,1,20,124.03504217275922,4.312567710876465,100034,123.5279249454444,0.41052841091501246
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 100}",4,2,20,119.38623394577306,4.177775859832764,100135,118.19212126813449,1.0103149557063695
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 100}",4,3,20,164.97614663241467,4.002742052078247,100099,163.8923966100251,0.6612570471882944
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 100}",4,4,50,317.48249171056295,10.157227039337158,100084,315.4125509015329,0.6562645662367054
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 100}",4,5,50,357.2894719211457,10.514395236968994,100004,356.5665364764205,0.20274910031358057
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 100}",4,6,50,382.53080845429986,10.584581851959229,100115,381.53301582072294,0.2615219632907916
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 100}",4,7,100,759.5410987908691,24.32042932510376,123570,757.3148940610056,0.29396024656609926
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 100}",4,8,100,707.7951811721758,25.05666184425354,128363,706.1873763225933,0.22767397202071485
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 50, 'ls_range': 7, 'ls_periodic_run_period': 100}",4,9,100,731.2639122121315,20.8047354221344,111350,729.5370949892298,0.23670040012525556
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 100, 'ls_range': 3, 'ls_periodic_run_period': 50}",5,1,20,123.96351626356373,4.297760725021362,100124,123.5279249454444,0.3526257874984243
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 100, 'ls_range': 3, 'ls_periodic_run_period': 50}",5,2,20,118.98419426052045,4.183279991149902,100186,118.19212126813449,0.6701571846646577
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 100, 'ls_range': 3, 'ls_periodic_run_period': 50}",5,3,20,165.0383318384104,3.944338321685791,100095,163.8923966100251,0.6991997506217458
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 100, 'ls_range': 3, 'ls_periodic_run_period': 50}",5,4,50,316.26432260261225,10.195826768875122,100119,315.4125509015329,0.27005003404106204
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 100, 'ls_range': 3, 'ls_periodic_run_period': 50}",5,5,50,358.4298396906229,10.51111364364624,100128,356.5665364764205,0.5225681671127943
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 100, 'ls_range': 3, 'ls_periodic_run_period': 50}",5,6,50,383.01303153244885,12.235823631286621,114198,381.53301582072294,0.3879128804992726
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 100, 'ls_range': 3, 'ls_periodic_run_period': 50}",5,7,100,758.6745110060247,30.045756578445435,144485,757.3148940610056,0.17953125650656304
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 100, 'ls_range': 3, 'ls_periodic_run_period': 50}",5,8,100,707.7167535863,22.810065984725952,112832,706.1873763225933,0.21656819634341037
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 100, 'ls_range': 3, 'ls_periodic_run_period': 50}",5,9,100,730.2112812859775,19.30827236175537,100042,729.5370949892298,0.09241288775832401
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 100, 'ls_range': 3, 'ls_periodic_run_period': 100}",6,1,20,124.14875606769075,4.3093743324279785,100124,123.5279249454444,0.5025836243266819
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 100, 'ls_range': 3, 'ls_periodic_run_period': 100}",6,2,20,118.83830249068497,4.121699810028076,100035,118.19212126813449,0.5467210636524018
BRKGA-R-LS,"{'elite_percentage': 0.1, 'mutant_percentage': 0.1, 'elite_inheritance_prob': 0.65, 'restarts_patience': 100, 'ls_range': 3, 'ls_periodic_run_period': 100}",6,3,20,164.58329838963405,4.537927150726318,113244,163.8923966100251,0.4215581649299664
