scheduler_name,config,config_id,instance_id,size,makespan,execution_time_s,best_known_makespan,rpd
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.05}",4,6,50,391.8280566342792,0.9570879936218262,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.05}",4,7,100,772.5070909931579,1.894263744354248,772.316688642347,0.024653403663416267
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.05}",4,8,100,720.8074961216653,1.856813907623291,720.8074961216653,0.0
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.05}",4,9,100,745.7776021484732,1.8231513500213623,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",5,1,20,126.55639798191599,0.4759352207183838,125.88789655364162,0.5310291509950802
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",5,2,20,123.24272301576939,0.6839160919189453,119.87520229994017,2.809188765665921
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",5,3,20,169.70335904159924,0.37639784812927246,164.19739149143297,3.3532612790950154
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",5,4,50,326.63513092396477,0.9436130523681641,326.0167177219706,0.18968757378924708
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",5,5,50,366.408275606738,0.9599325656890869,366.408275606738,0.0
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",5,6,50,391.8280566342792,0.9584860801696777,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",5,7,100,772.5070909931579,1.898118495941162,772.316688642347,0.024653403663416267
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",5,8,100,720.8074961216653,1.8508532047271729,720.8074961216653,0.0
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.1}",5,9,100,745.7776021484732,1.8172850608825684,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",6,1,20,128.68783877137184,0.4492478370666504,125.88789655364162,2.224155216174532
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",6,2,20,125.01292518876937,0.3749721050262451,119.87520229994017,4.2858929872536
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",6,3,20,171.63171939613332,0.3613739013671875,164.19739149143297,4.5276772287142215
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",6,4,50,328.1004430040695,0.9279148578643799,326.0167177219706,0.639146758073895
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",6,5,50,366.408275606738,0.9492735862731934,366.408275606738,0.0
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",6,6,50,391.8280566342792,0.9465107917785645,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",6,7,100,772.5070909931579,1.8815996646881104,772.316688642347,0.024653403663416267
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",6,8,100,720.8074961216653,1.8494224548339844,720.8074961216653,0.0
2PGA,"{'phase1_duration': 5, 'phase2_duration': 15, 'pop_f_ratio': 0.2}",6,9,100,745.7776021484732,1.8173329830169678,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",7,1,20,128.66989499711968,0.3875281810760498,125.88789655364162,2.2099014437759172
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",7,2,20,124.16973035801792,0.39401936531066895,119.87520229994017,3.582499112145305
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",7,3,20,165.01028607236,1.139617681503296,164.19739149143297,0.4950715559750224
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",7,4,50,328.1004430040695,0.9390461444854736,326.0167177219706,0.639146758073895
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",7,5,50,366.408275606738,0.9548125267028809,366.408275606738,0.0
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",7,6,50,391.8280566342792,0.9573547840118408,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",7,7,100,772.316688642347,1.9162113666534424,772.316688642347,0.0
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",7,8,100,720.8074961216653,1.8555359840393066,720.8074961216653,0.0
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.05}",7,9,100,745.7776021484732,1.8190810680389404,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",8,1,20,126.20139654586545,0.3927922248840332,125.88789655364162,0.24903108305590027
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",8,2,20,125.6112636257005,0.37419891357421875,119.87520229994017,4.78502744162893
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",8,3,20,169.54748366756627,0.6928532123565674,164.19739149143297,3.258329579743929
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",8,4,50,327.60447990706865,0.949981689453125,326.0167177219706,0.48701864008461176
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",8,5,50,366.408275606738,0.9576103687286377,366.408275606738,0.0
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",8,6,50,391.8280566342792,0.9539072513580322,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",8,7,100,772.5070909931579,1.8902335166931152,772.316688642347,0.024653403663416267
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",8,8,100,720.8074961216653,1.8539080619812012,720.8074961216653,0.0
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.1}",8,9,100,745.7776021484732,1.8297531604766846,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",9,1,20,127.28623745715348,0.42343688011169434,125.88789655364162,1.1107826421708535
